Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
1,4,,DQL31,DISCARD,pass,0.0,[ 3.  7.  7.  9.  9.  9.  9. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,4,,Random0,DISCARD,pass,0.0,[ 5.  6.  9.  9.  9. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random1,DECLARE_PIZZA,,,,,,,,,,
1,5,,Random1,DISCARD,C4;Q1;J0,0.0,[ 5.  6.  7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q1;J0', 'C5;Q1;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'pass']",,,,
1,5,,Random2,DISCARD,pass,0.0,[ 5.  6.  7.  8.  8.  8.  8.  8.  9. 10. 10. 10. 11. 11. 12. 12.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,5,,DQL31,DISCARD,C3;Q1;J0,0.0,[ 7.  7.  9.  9.  9.  9. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'pass']",,,,
1,5,,Random0,DISCARD,pass,0.0,[ 5.  6.  9.  9.  9. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,5,,Random1,DISCARD,pass,0.0,[ 5.  6.  7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,DQL31,DECLARE_PIZZA,,,,,,,,,,
1,6,,DQL31,DISCARD,C9;Q3;J0,0.0,[ 7.  7.  9. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q1;J0', 'C7;Q2;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C9;Q4;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'pass']",,,,
1,6,,Random0,DISCARD,pass,0.0,[ 5.  6.  9.  9.  9. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,6,,Random1,DISCARD,pass,0.0,[ 5.  6.  7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,6,,Random2,DISCARD,C8;Q5;J1,0.0,[ 5.  6.  7.  9. 10. 10. 10. 11. 11. 12.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],[ 8.  8.  8.  8.  8. 12.  0.  0.  0.  0.  0.],"['C8;Q3;J0', 'C8;Q3;J1', 'C8;Q3;J2', 'C8;Q4;J0', 'C8;Q4;J1', 'C8;Q4;J2', 'C8;Q5;J0', 'C8;Q5;J1', 'C8;Q5;J2', 'pass']",,,,
1,6,,DQL31,DISCARD,pass,0.0,[ 7.  7.  9. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[ 8.  8.  8.  8.  8. 12.  0.  0.  0.  0.  0.],[ 8.  8.  8.  8.  8. 12.  0.  0.  0.  0.  0.],['pass'],,,,
1,,,Random2,DECLARE_PIZZA,,,,,,,,,,
1,7,,Random2,DISCARD,C11;Q1;J1,0.0,[ 5.  6.  7.  9. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C5;Q1;J0', 'C5;Q1;J1', 'C6;Q1;J0', 'C6;Q1;J1', 'C7;Q1;J0', 'C7;Q1;J1', 'C9;Q1;J0', 'C9;Q1;J1', 'C10;Q1;J0', 'C10;Q1;J1', 'C10;Q2;J0', 'C10;Q2;J1', 'C10;Q3;J0', 'C10;Q3;J1', 'C11;Q1;J0', 'C11;Q1;J1', 'C11;Q2;J0', 'C11;Q2;J1', 'C0;Q0;J1', 'pass']",,,,
1,7,,DQL31,DISCARD,C7;Q2;J0,0.0,[ 9. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q2;J0', 'C10;Q2;J0', 'pass']",,,,
1,7,,Random0,DISCARD,pass,0.0,[ 5.  6.  9.  9.  9. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,7,,Random1,DISCARD,pass,0.0,[ 5.  6.  7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,7,,Random2,DISCARD,pass,0.0,[ 5.  6.  7.  9. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,DQL31,DECLARE_PIZZA,,,,,,,,,,
1,8,,DQL31,DISCARD,C11;Q4;J0,0.0,[ 9. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],"['C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'pass']",,,,
1,8,,Random0,DISCARD,pass,0.0,[ 5.  6.  9.  9.  9. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
